Node,KC
C0002068,8.44E-05
C0002072,0.000425192
C0002073,0.000260943
C0002078,8.44E-05
C0002083,8.47E-05
C0002085,0.00784392
C0002092,0.002618423
C0002098,0.000255267
C0002106,0.000169121
C0002122,0.00030808
C0002123,0.000170595
C0002125,8.44E-05
C0002131,0.00025705
C0002144,0.000522263
C0002154,0.000529376
C0002157,8.47E-05
C0002164,0.000552684
C0002168,0.000170499
C0002170,0.001536008
C0002175,0.000128374
C0002186,0.001802934
C0002191,0.001271488
C0002198,0.000386664
C0002199,0.013633866
C0002210,0.00077711
C0002240,8.50E-05
C0002241,0.00016925
C0002245,0.000429379
C0002246,8.46E-05
C0002251,9.07E-05
C0002257,8.44E-05
C0002260,9.00E-05
C0002268,0.000100902
C0002270,0.000170479
C0002272,0.00042687
C0002287,0.000168854
C0002302,0.000254393
C0002318,0.000350554
C0002331,0.002791998
C0002335,0.000858316
C0002345,0.00164122
C0002346,8.55E-05
C0002367,0.001028779
C0002371,0.000529133
C0002382,0.000436703
C0002387,8.43E-05
C0002390,0.001150701
C0002395,0.010682662
C0002403,0.002027957
C0002416,8.44E-05
C0002418,0.000277373
C0002421,0.000728982
C0002422,0.000950465
C0002423,0.002721407
C0002424,0.004262206
C0002428,0.000778411
C0002430,8.48E-05
C0002438,0.000276138
C0002448,0.000170649
C0002458,8.48E-05
C0002460,0.000397818
C0002461,8.44E-05
C0002464,8.48E-05
C0002475,0.000870949
C0002482,0.00052137
C0002483,8.44E-05
C0002488,8.44E-05
C0002499,0.00112368
C0002502,0.000768184
C0002505,8.44E-05
C0002508,0.000677592
C0002520,0.019469361
C0002521,0.000170973
C0002525,0.000168721
C0002529,0.000536068
C0002530,0.000168755
C0002531,0.000256645
C0002556,0.001380239
C0002563,0.000174105
C0002570,0.001969843
C0002573,8.44E-05
C0002575,0.000426748
C0002578,0.000169713
C0002588,8.67E-05
C0002594,0.001472847
C0002598,0.001929782
C0002600,0.000352114
C0002607,0.001207433
C0002611,0.000173831
C0002615,0.000785566
C0002620,0.000171644
C0002622,0.000442129
C0002624,0.000168874
C0002627,8.75E-05
C0002630,9.49E-05
C0002638,0.001123517
C0002641,0.000254768
C0002642,0.000345478
C0002645,0.001325402
C0002658,0.000620557
C0002667,0.000343362
C0002668,0.000949628
C0002679,0.000920223
C0002680,0.000951889
C0002684,8.65E-05
C0002688,0.001726323
C0002690,0.001378182
C0002695,0.000170059
C0002708,0.000765797
C0002710,8.67E-05
C0002712,0.001105334
C0002716,0.002517434
C0002723,0.001493965
C0002726,0.000735702
C0002736,0.002798994
C0002760,0.000508609
C0002763,0.000597026
C0002766,0.005204835
C0002769,0.001297993
C0002771,0.005560484
C0002772,0.004429415
C0002773,8.45E-05
C0002783,0.00102735
C0002792,0.001278444
C0002793,0.000428332
C0002794,8.74E-05
C0002797,8.96E-05
C0002804,0.00042541
C0002812,0.000175501
C0002830,8.72E-05
C0002842,0.000917129
C0002844,0.003088512
C0002845,0.000863695
C0002871,0.008035848
C0002873,0.000171535
C0002874,0.000526756
C0002875,0.00073471
C0002878,0.000466307
C0002879,8.47E-05
C0002880,0.000796141
C0002888,0.000355046
C0002895,0.003763976
C0002903,0.01255477
C0002911,0.001257955
C0002915,0.006627697
C0002920,0.000430209
C0002921,0.001932062
C0002922,8.84E-05
C0002928,0.001706394
C0002930,0.000170416
C0002932,0.005561933
C0002934,0.000340428
C0002938,0.000259285
C0002940,0.012123665
C0002949,0.001825593
C0002950,0.000339221
C0002952,0.000254796
C0002957,0.000256692
C0002959,0.000724731
C0002965,0.000771192
C0002976,0.000507799
C0002978,0.008276918
C0002979,0.00191121
C0002986,0.000643799
C0002991,0.000256711
C0002992,0.000168874
C0002994,0.001268322
C0002996,0.001538928
C0002997,8.59E-05
C0003006,0.001133392
C0003009,0.011095754
C0003011,0.000609562
C0003012,8.45E-05
C0003015,0.006105991
C0003017,0.000788936
C0003018,0.002319091
C0003035,8.43E-05
C0003036,0.000253296
C0003047,0.001502036
C0003048,0.000257414
C0003050,8.56E-05
C0003055,0.000171458
C0003060,0.002009784
C0003062,0.045017844
C0003063,0.002468415
C0003064,0.002887598
C0003065,0.000448354
C0003069,0.000810844
C0003070,0.003524804
C0003075,0.000941793
C0003082,0.000341295
C0003086,0.001456073
C0003090,0.000169967
C0003113,8.54E-05
C0003119,0.000168874
C0003121,8.44E-05
C0003123,0.002908788
C0003125,0.001297685
C0003126,0.004572569
C0003128,0.000182692
C0003130,0.000170981
C0003132,0.000168852
C0003138,8.44E-05
C0003153,0.000178559
C0003154,8.62E-05
C0003158,0.00120379
C0003161,0.000170187
C0003162,8.48E-05
C0003174,0.000591548
C0003175,0.001125734
C0003188,8.44E-05
C0003191,0.000638135
C0003195,0.000686102
C0003204,0.001962951
C0003205,0.001599972
C0003209,0.014227517
C0003211,0.005945994
C0003232,0.024819806
C0003233,0.000347398
C0003236,9.51E-05
C0003238,9.31E-05
C0003240,0.002344113
C0003241,0.052843757
C0003242,0.009721918
C0003243,0.000772157
C0003244,8.61E-05
C0003248,8.54E-05
C0003250,0.022905989
C0003251,8.44E-05
C0003253,0.002338192
C0003255,9.49E-05
C0003261,0.012272099
C0003264,0.000253599
C0003272,0.000679749
C0003273,0.000370001
C0003277,8.44E-05
C0003280,0.005313106
C0003281,0.001411505
C0003284,8.71E-05
C0003286,0.000980774
C0003289,0.004142554
C0003290,0.000253998
C0003292,0.000338951
C0003295,0.000707376
C0003297,0.000259713
C0003299,0.001052572
C0003304,8.74E-05
C0003308,0.001052705
C0003313,0.003348508
C0003314,0.000170815
C0003315,0.003592867
C0003316,0.018907561
C0003317,8.73E-05
C0003319,0.00025412
C0003320,0.029118232
C0003321,0.000253516
C0003323,0.000604968
C0003324,0.000168874
C0003330,8.90E-05
C0003333,0.000423625
C0003335,0.000172745
C0003339,0.001225581
C0003341,8.44E-05
C0003342,0.005046438
C0003343,0.000508401
C0003364,0.004541294
C0003372,8.44E-05
C0003374,0.004397667
C0003376,0.000342558
C0003385,0.000605896
C0003392,0.004741184
C0003393,0.000253357
C0003402,0.00877055
C0003404,0.000693138
C0003405,0.000168874
C0003416,8.44E-05
C0003419,0.001282692
C0003424,0.000253216
C0003438,0.000518804
C0003440,0.001006719
C0003442,0.000258753
C0003445,8.43E-05
C0003448,0.000343504
C0003449,0.000170288
C0003450,8.44E-05
