Node,BC
C0003069,1.06E-06
C0003070,0.000144761
C0003075,5.99E-05
C0003082,2.30E-07
C0003086,0.000237534
C0003090,1.61E-08
C0003113,0
C0003119,0
C0003121,0
C0003123,0.000252213
C0003125,9.97E-06
C0003126,0.000120124
C0003128,0
C0003130,6.83E-09
C0003132,6.32E-09
C0003138,0
C0003153,0
C0003154,0
C0003158,0.000186126
C0003161,1.19E-08
C0003162,0
C0003174,9.85E-05
C0003175,7.10E-06
C0003188,0
C0003191,1.78E-05
C0003195,2.74E-05
C0003204,1.42E-05
C0003205,0.000133263
C0003209,0.001215228
C0003211,0.000269447
C0003232,0.002133103
C0003233,3.24E-06
C0003236,0
C0003238,0
C0003240,1.51E-05
C0003241,0.009711333
C0003242,0.000857026
C0003243,3.93E-06
C0003244,0
C0003248,0
C0003250,0.002473478
C0003251,0
C0003253,5.35E-05
C0003255,0
C0003261,0.000956405
C0003264,9.10E-07
C0003272,9.76E-05
C0003273,2.24E-06
C0003277,0
C0003280,0.000166713
C0003281,4.80E-06
C0003284,0
C0003286,5.05E-05
C0003289,0.000400182
C0003290,3.30E-07
C0003292,5.90E-06
C0003295,5.14E-05
C0003297,7.79E-07
C0003299,1.37E-05
C0003304,0
C0003308,5.21E-05
C0003313,6.08E-05
C0003314,7.35E-08
C0003315,0.00010752
C0003316,0.001958027
C0003317,0
C0003319,6.73E-07
C0003320,0.003158904
C0003321,4.91E-05
C0003323,7.44E-07
C0003324,0
C0003330,0
C0003333,1.03E-06
C0003335,4.41E-08
C0003339,4.24E-06
C0003341,0
C0003342,0.000297624
C0003343,2.28E-07
C0003364,8.54E-05
C0003372,0
C0003374,0.000100505
C0003376,9.21E-07
C0003385,9.79E-05
C0003392,0.000231917
C0003393,1.51E-06
C0003402,0.00085348
C0003404,1.04E-05
C0003405,0
C0003416,0
C0003419,2.28E-06
C0003424,4.87E-05
C0003438,2.54E-07
C0003440,5.70E-05
C0003442,1.07E-07
C0003445,0
C0003448,1.16E-06
C0003449,2.24E-08
C0003450,0
C0003451,0.001701308
C0003455,4.87E-05
C0003459,0
C0003460,4.88E-06
C0003461,0.000102528
C0003466,0
C0003467,0.002332696
C0003469,0.000118984
C0003477,0
C0003483,0.000571374
C0003486,1.18E-05
C0003492,1.03E-07
C0003493,3.59E-07
C0003496,0
C0003504,1.74E-05
C0003507,8.69E-05
C0003509,1.65E-08
C0003515,2.88E-07
C0003521,0
C0003522,0
C0003537,1.89E-05
C0003562,2.46E-09
C0003578,4.47E-05
C0003588,0
C0003591,5.29E-05
C0003592,0
C0003593,0
C0003595,3.52E-05
C0003601,3.79E-08
C0003611,6.01E-05
C0003614,6.49E-07
C0003615,0.000189714
C0003617,0.000199788
C0003618,1.09E-05
C0003621,0
C0003622,0
C0003641,1.11E-07
C0003646,0
C0003662,3.36E-05
C0003682,1.21E-07
C0003692,0
C0003695,6.28E-05
C0003723,2.51E-06
C0003725,9.07E-06
C0003732,0.000156504
C0003733,0
C0003737,0
C0003741,9.74E-05
C0003755,1.53E-06
C0003762,5.99E-05
C0003765,6.49E-05
C0003779,4.93E-05
C0003794,6.15E-06
C0003805,1.09E-06
C0003806,0
C0003808,3.70E-06
C0003811,0.000267432
C0003813,5.54E-09
C0003818,6.57E-05
C0003826,0
C0003827,0
C0003835,1.70E-05
C0003838,3.72E-07
C0003842,0.003422881
C0003844,9.82E-05
C0003847,4.25E-06
C0003850,0.000342946
C0003851,9.06E-07
C0003855,0.00012418
C0003857,0.000163534
C0003860,1.34E-06
C0003862,3.47E-05
C0003864,0.000476913
C0003868,0
C0003869,2.01E-05
C0003872,6.17E-06
C0003873,0.000336526
C0003875,0
C0003876,0
C0003881,0
C0003885,6.53E-05
C0003893,0.000150488
C0003898,5.17E-07
C0003903,3.32E-06
C0003904,1.30E-05
C0003916,6.81E-06
C0003943,0
C0003947,8.26E-08
C0003949,0
C0003950,5.23E-07
C0003956,0
C0003962,0.000113768
C0003964,1.39E-06
C0003965,0
C0003967,3.68E-08
C0003968,0.000407771
C0003969,0
C0003974,0
C0003988,6.95E-07
C0003993,4.51E-08
C0003995,5.22E-05
C0003999,4.87E-05
C0004002,5.01E-05
C0004015,4.46E-05
C0004030,5.48E-05
C0004031,2.17E-07
C0004034,4.98E-05
C0004036,3.02E-07
C0004037,4.90E-05
C0004039,0
C0004044,1.74E-05
C0004045,0
C0004048,0.000279821
C0004057,0.000329333
C0004063,4.72E-05
C0004083,7.89E-08
C0004093,1.16E-08
C0004095,4.33E-07
C0004096,0.001979887
C0004106,3.18E-06
C0004112,0.000663766
C0004114,4.15E-07
C0004120,0.000281109
C0004134,8.57E-05
C0004135,2.09E-06
C0004138,0
C0004144,0.000124809
C0004153,1.29E-05
C0004161,1.56E-07
C0004171,0
C0004178,4.99E-05
C0004199,0
C0004204,1.02E-07
C0004235,0
C0004237,0
C0004238,0.000436895
C0004239,1.33E-06
C0004245,3.40E-08
C0004259,4.87E-05
C0004268,0.000173063
C0004271,0.000229211
C0004277,0
C0004292,0
C0004302,0
C0004309,0
C0004320,5.01E-05
C0004334,4.66E-05
C0004339,0.000129432
C0004352,0.000107129
C0004358,0.00038845
C0004359,0.000119297
C0004364,0.001081131
C0004366,3.16E-05
C0004371,3.51E-07
C0004380,0
C0004388,2.73E-08
C0004391,0.001849943
C0004398,0.001331736
C0004400,5.05E-05
C0004409,1.29E-05
C0004418,0
C0004419,0.000880414
C0004420,2.69E-07
C0004422,5.72E-07
C0004425,4.22E-07
C0004430,0
C0004434,0
C0004448,0.000353875
C0004454,5.95E-05
C0004461,0.000124037
C0004475,3.14E-05
C0004480,0
C0004482,2.47E-05
C0004483,9.67E-08
C0004496,0
C0004504,1.56E-09
C0004509,1.18E-06
C0004519,7.78E-06
C0004521,0
C0004525,4.43E-07
C0004526,8.53E-07
C0004561,0.000996223
C0004565,2.92E-07
C0004576,6.98E-06
C0004587,1.97E-05
C0004589,4.94E-05
C0004590,6.52E-09
C0004594,0
C0004595,4.29E-07
C0004597,1.24E-07
C0004599,8.03E-07
C0004600,0.000185762
C0004604,9.45E-05
C0004606,6.33E-06
C0004607,0
C0004609,8.96E-09
C0004610,0.000459546
C0004611,0.002941433
C0004613,4.87E-05
C0004614,1.49E-08
C0004618,4.71E-07
C0004623,0.000876538
C0004626,6.51E-05
C0004627,2.34E-05
C0004630,0
C0004632,1.48E-06
C0004635,9.75E-05
C0004641,6.48E-07
C0004644,0
C0004651,0.00027897
C0004654,0
C0004659,9.55E-07
C0004661,5.15E-07
C0004663,0
C0004698,0.000110069
C0004700,0
C0004704,5.39E-05
C0004708,0
C0004726,5.10E-05
C0004745,0
C0004749,5.69E-07
C0004754,0
C0004755,1.96E-07
C0004757,0
C0004760,3.39E-06
C0004763,5.16E-05
C0004764,0
C0004768,0
C0004770,6.89E-07
C0004779,3.11E-06
C0004781,3.32E-06
C0004790,0
C0004793,0.000286814
C0004799,9.75E-05
C0004811,0
C0004827,4.15E-07
C0004830,0
C0004836,4.76E-08
C0004855,0
C0004886,3.62E-05
C0004891,0
C0004895,3.55E-07
C0004897,1.19E-05
C0004905,0
C0004906,1.45E-08
C0004910,2.22E-06
C0004916,5.96E-05
C0004920,6.57E-08
C0004923,1.95E-07
C0004927,0.000300899
C0004930,5.35E-07
C0004933,0.000125164
C0004936,0.000804891
C0004941,4.53E-07
C0004943,9.03E-06
C0004945,0
C0005001,1.06E-06
C0005014,3.01E-06
C0005018,1.41E-05
C0005024,0
C0005032,0
C0005036,5.05E-05
C0005050,9.98E-08
C0005052,4.87E-05
C0005064,5.98E-05
C0005099,0
C0005100,1.83E-05
C0005117,5.34E-05
C0005119,4.76E-07
C0005122,9.74E-05
C0005136,1.79E-07
C0005145,4.10E-08
C0005146,0
C0005148,5.17E-07
C0005149,4.96E-05
C0005186,7.48E-06
C0005197,0.000146036
C0005198,4.70E-06
C0005210,2.21E-06
C0005214,0
C0005220,2.25E-06
C0005221,3.31E-06
C0005223,1.24E-07
C0005248,5.59E-06
C0005270,1.81E-07
C0005283,2.84E-06
C0005290,0
C0005304,0
C0005308,5.42E-06
C0005330,0
C0005364,0
C0005365,0
C0005367,9.84E-05
C0005372,0
C0005375,0
C0005380,2.13E-06
C0005382,5.93E-05
C0005390,0.000155341
C0005400,2.90E-06
C0005401,4.87E-05
C0005403,2.06E-06
C0005404,0.000150248
C0005411,3.13E-06
C0005416,0
C0005417,7.29E-07
C0005423,0
C0005424,0
C0005426,0
C0005435,0
C0005437,0.00019696
C0005446,0
C0005456,0.000775855
C0005457,0
C0005479,7.85E-07
C0005482,0
C0005486,5.01E-05
C0005491,2.89E-08
C0005492,8.25E-05
C0005495,0.000394119
C0005496,3.07E-08
C0005507,5.57E-05
C0005508,0
C0005515,0.000280211
C0005516,1.45E-05
C0005520,1.61E-07
C0005525,0.00111115
C0005526,6.35E-09
C0005527,9.97E-06
C0005529,4.32E-07
C0005532,5.54E-07
C0005533,4.87E-05
C0005539,0
C0005540,0
C0005544,0
C0005551,0
C0005553,2.53E-08
C0005554,0.000104851
C0005557,2.02E-07
C0005558,0.001781286
C0005560,0
C0005567,0
C0005575,3.63E-05
C0005580,0
C0005586,5.24E-05
C0005587,2.54E-07
C0005591,7.78E-07
C0005595,0.000318066
C0005604,0
C0005612,2.38E-08
C0005615,0.000155366
C0005639,5.71E-07
C0005642,5.51E-05
C0005647,2.78E-06
C0005658,1.15E-06
C0005660,0
C0005670,3.03E-06
C0005680,7.74E-06
C0005682,6.98E-05
C0005683,0
C0005684,0.000112309
C0005686,0
C0005694,0
C0005695,7.78E-07
C0005697,3.89E-06
C0005699,0
C0005700,6.24E-05
C0005712,2.77E-08
C0005716,4.87E-05
C0005740,1.62E-05
C0005745,0.000163973
C0005747,3.60E-07
C0005758,0.000189506
C0005767,0.001540433
C0005770,1.06E-06
C0005771,1.55E-07
C0005773,8.40E-05
C0005775,5.03E-05
C0005778,0.000104633
C0005779,0.000610022
C0005789,6.88E-06
C0005790,3.72E-07
C0005791,1.53E-06
C0005794,0
C0005795,3.63E-05
C0005800,9.13E-07
C0005802,0.000162448
C0005803,0
C0005804,1.02E-06
C0005811,0
C0005818,6.51E-09
C0005821,0.000722624
C0005822,0
C0005823,0.000361122
C0005824,0
C0005825,0
C0005832,0
C0005833,3.38E-05
C0005834,6.91E-06
C0005836,0
C0005841,0.000110082
C0005843,0
C0005845,5.90E-06
C0005847,0.001773211
C0005848,4.96E-05
C0005854,0.000245096
C0005857,0
C0005859,0
C0005861,7.15E-07
C0005862,1.09E-06
C0005863,0.000474113
C0005866,9.04E-08
C0005867,1.77E-05
C0005874,1.52E-06
C0005885,6.94E-07
C0005887,0
C0005889,0.000297748
C0005891,1.24E-06
C0005893,4.74E-06
C0005898,6.04E-05
C0005901,0
C0005902,0
C0005903,6.40E-06
C0005904,0
C0005905,1.42E-05
C0005910,1.44E-05
C0005911,5.02E-06
C0005919,1.03E-07
C0005938,1.97E-07
C0005940,8.40E-06
C0005944,5.85E-08
C0005949,4.60E-08
C0005953,0.000291892
C0005954,0
C0005955,3.64E-06
C0005956,2.35E-05
C0005957,0
C0005959,0
C0005961,1.84E-05
C0005962,0
C0005967,2.11E-07
C0005971,0.000302901
C0005972,5.79E-07
C0005974,8.29E-05
C0005975,5.96E-05
C0005976,8.25E-05
C0005978,0.000111658
C0006006,0
C0006008,0
C0006012,5.45E-05
C0006015,2.13E-06
C0006017,8.91E-05
C0006019,1.50E-06
C0006023,1.76E-06
C0006024,1.79E-05
C0006029,0
C0006033,1.74E-07
C0006034,4.89E-05
C0006050,4.40E-06
C0006052,0
C0006055,7.41E-06
C0006057,5.06E-08
C0006063,0.000186664
C0006069,4.90E-05
C0006072,0
C0006074,0
C0006086,5.25E-05
C0006087,5.45E-08
C0006094,2.24E-07
C0006098,2.13E-05
C0006100,0.000150447
C0006104,0.006022348
C0006105,4.88E-07
C0006106,0
C0006107,2.75E-06
C0006109,0
C0006110,2.36E-06
C0006111,1.54E-05
C0006112,0
C0006114,1.26E-05
C0006118,3.62E-05
C0006119,1.52E-06
C0006121,0.000189306
C0006123,6.53E-09
C0006132,7.09E-07
C0006138,0
C0006141,0.00046424
C0006142,0.001149323
C0006145,0
C0006147,0.000553998
C0006153,4.96E-05
C0006155,3.79E-05
C0006159,0.00028158
C0006205,0.000146066
C0006217,1.74E-05
C0006220,6.76E-07
C0006222,4.04E-07
C0006230,0
C0006233,0
C0006255,9.26E-05
C0006262,0
C0006266,4.52E-05
C0006267,5.88E-05
C0006270,1.14E-05
C0006271,0.000153301
C0006272,5.03E-05
C0006274,5.13E-06
C0006277,4.55E-05
C0006279,0.000342244
C0006280,1.96E-07
C0006281,0
C0006282,1.66E-07
C0006285,8.55E-05
C0006287,7.04E-05
C0006288,2.85E-05
C0006290,0.000159075
C0006298,1.46E-06
C0006303,3.34E-06
C0006304,0
C0006309,5.83E-06
C0006318,4.87E-05
C0006322,9.74E-05
C0006325,1.31E-05
C0006349,0
C0006352,6.97E-05
C0006353,0.000310884
C0006357,0
C0006359,0
C0006370,9.47E-08
C0006384,3.83E-07
C0006395,1.46E-05
C0006400,1.05E-05
C0006405,0.000188954
C0006413,3.20E-08
C0006418,0
C0006425,2.19E-07
C0006430,3.98E-08
C0006433,5.05E-08
C0006434,0.000214056
C0006435,0
C0006437,0
C0006440,1.19E-07
C0006462,3.73E-07
C0006463,2.86E-07
C0006475,0
C0006491,0
C0006496,0
C0006497,2.09E-07
C0006507,0
C0006521,5.19E-05
C0006549,1.86E-08
C0006556,0.00019491
C0006558,2.06E-05
C0006560,0.000451897
C0006611,5.72E-05
C0006613,0
C0006622,0
C0006625,5.47E-05
C0006629,4.91E-05
C0006631,8.15E-05
C0006632,2.96E-05
C0006635,2.18E-06
C0006639,9.31E-09
C0006644,0.000144318
C0006655,4.75E-06
C0006657,1.48E-05
C0006660,1.14E-05
C0006663,8.52E-05
C0006664,0
C0006666,7.66E-06
C0006668,1.06E-07
C0006669,0.000102546
C0006674,6.01E-06
C0006675,0.000395174
C0006681,0
C0006684,6.01E-05
C0006685,1.93E-07
C0006686,0
C0006701,4.87E-05
C0006706,8.85E-08
C0006711,0
C0006732,5.01E-05
C0006736,0.000169049
C0006752,1.06E-06
C0006764,2.97E-05
C0006765,4.78E-07
C0006772,9.69E-05
C0006777,7.74E-06
C0006779,9.98E-05
C0006780,0
C0006781,9.15E-06
C0006784,2.02E-05
C0006786,0
C0006790,0
C0006801,0.000160683
C0006809,0
C0006811,0
C0006813,9.87E-08
C0006818,1.89E-06
C0006819,2.27E-07
C0006824,0
C0006826,0.008141326
C0006836,2.77E-08
C0006837,6.23E-05
C0006840,1.55E-05
C0006849,2.51E-07
C0006856,0
C0006861,4.83E-06
C0006863,0.000245556
C0006864,9.37E-05
C0006873,9.78E-07
C0006882,0
C0006901,0.000244997
C0006902,3.13E-09
C0006904,0
C0006906,1.36E-07
C0006916,0
C0006931,2.13E-06
C0006933,0.000440927
C0006935,0
C0006938,8.02E-05
C0006943,0
C0006945,0
C0006949,5.77E-05
C0006960,1.26E-06
C0006968,2.36E-05
C0007004,0.000385632
C0007009,8.89E-05
C0007010,6.89E-07
C0007012,7.65E-05
C0007016,0
C0007018,2.20E-05
C0007022,1.52E-06
C0007026,4.87E-05
C0007028,9.39E-09
C0007036,0
C0007043,0
C0007054,0
C0007061,1.34E-07
C0007066,1.55E-05
C0007072,9.08E-09
C0007075,4.74E-07
C0007082,9.54E-05
C0007090,7.92E-05
C0007091,0
C0007093,0
C0007095,0
C0007097,0.000295765
C0007099,5.05E-05
C0007102,0.000184698
C0007103,1.77E-05
C0007107,4.36E-06
C0007112,6.50E-06
C0007113,0.000117504
C0007114,4.93E-05
C0007115,3.15E-06
C0007117,4.92E-05
C0007118,0
C0007120,0
C0007121,4.93E-05
C0007124,5.36E-05
C0007129,1.61E-05
C0007130,0
C0007131,0.000429143
C0007134,0.000151213
C0007135,0
C0007137,0.000761294
C0007138,0.000266099
C0007143,1.91E-07
C0007144,6.48E-08
C0007158,5.45E-05
C0007166,0
C0007177,1.22E-05
C0007179,2.58E-07
C0007188,9.38E-05
C0007189,2.52E-07
C0007193,2.99E-05
C0007194,3.71E-06
C0007196,6.75E-07
C0007202,6.76E-05
C0007203,0.000197769
C0007208,9.41E-09
C0007209,0
C0007220,1.93E-07
C0007222,0.001194368
C0007226,2.23E-06
C0007227,1.99E-06
C0007239,0
C0007258,5.00E-08
C0007262,3.20E-08
C0007267,1.24E-05
C0007271,1.93E-06
C0007272,6.36E-05
C0007273,4.19E-06
C0007274,1.16E-06
C0007276,0
C0007277,5.98E-08
C0007279,2.07E-08
C0007281,0
C0007282,1.40E-06
C0007284,6.41E-07
C0007286,5.75E-05
C0007289,1.67E-07
C0007292,0.000108399
C0007294,4.23E-05
C0007299,0
C0007301,0.000235948
C0007309,0
C0007320,1.25E-06
C0007328,1.81E-05
C0007332,4.54E-06
C0007341,0
C0007344,0.000194984
C0007347,0
C0007350,1.25E-06
C0007361,2.82E-06
C0007364,0
C0007367,0.000111214
C0007382,9.11E-05
C0007384,0
C0007389,5.19E-06
C0007397,0
C0007398,4.37E-06
C0007404,7.39E-05
C0007412,3.48E-06
C0007413,4.87E-05
C0007418,0
C0007427,2.25E-06
C0007428,7.43E-06
C0007430,1.90E-06
C0007431,9.99E-09
C0007435,3.89E-06
C0007438,0
C0007439,4.96E-05
C0007447,2.55E-07
C0007448,7.93E-08
C0007449,0
C0007450,0.005428564
C0007452,0.002188618
C0007453,0.000381363
C0007457,0.000294292
C0007465,1.10E-08
C0007471,5.12E-05
C0007507,0
C0007531,0.000201577
C0007537,6.40E-08
C0007546,1.97E-09
C0007554,4.96E-05
C0007557,0
C0007559,4.58E-06
C0007561,7.40E-06
C0007562,1.82E-06
C0007569,1.65E-06
C0007570,0.000132638
